Date,wind_generation_actual,wind_capacity,temperature
10/5/2018,221463,47803,12.909
10/6/2018,183958,47816.083,14.854
10/7/2018,211960,47843.667,11.938
10/8/2018,198023,47900.25,11.447
10/9/2018,168321,47959.417,13.028
10/10/2018,271049,47978.667,14.482
10/11/2018,378196,48021.083,15.291
10/12/2018,326377,48046.083,17.106
10/13/2018,365327,48070,17.127
10/14/2018,400267,48082.083,16.004
10/15/2018,153490,48096.083,16.111
10/16/2018,52173,48119,15.513
10/17/2018,50383,48120,14.691
10/18/2018,157001,48131,12.599
10/19/2018,49804,48131,10.636
10/20/2018,116323,48132.083,9.428
10/21/2018,149356,48146.667,9.099
10/22/2018,338290,48177.417,8.08
10/23/2018,864205,48193.25,8.852
10/24/2018,661105,48196.5,10.768
10/25/2018,576144,48203.333,10.481
10/26/2018,429065,48218,8.885
10/27/2018,358255,48218,5.633
10/28/2018,466233,48218.5,3.328
10/29/2018,572823,48230,4.243
10/30/2018,728078,48230.125,6.377
10/31/2018,438147,48233.667,6.743
11/1/2018,298990,48249,7.11
11/2/2018,317434,48249,7.362
11/3/2018,166184,48249,5.838
11/4/2018,188301,48249,7.844
11/5/2018,210980,48249,9.22
11/6/2018,243394,48249,10.046
11/7/2018,272715,48249.667,10.011
11/8/2018,174120,48266.042,8.881
11/9/2018,242364,48290,8.709
11/10/2018,491683,48290,9.085
11/11/2018,529950,48290.333,9.948
11/12/2018,316067,48298.708,10.624
11/13/2018,485892,48315.375,8.775
11/14/2018,234607,48324.25,6.301
11/15/2018,187340,48330.292,4.616
11/16/2018,368873,48337,3.434
11/17/2018,447435,48337,1.666
11/18/2018,366328,48337.833,0.43
11/19/2018,673502,48357,1.518
11/20/2018,732443,48357.542,0.43
11/21/2018,396548,48370.542,0.145
11/22/2018,186748,48383.292,0.497
11/23/2018,98342,48390.833,1.062
11/24/2018,107988,48410.5,1.916
11/25/2018,178695,48422.458,2.715
11/26/2018,240903,48433.5,2.17
11/27/2018,147985,48445.875,-0.244
11/28/2018,534632,48466.375,-0.179
11/29/2018,655101,48475.75,2.078
11/30/2018,447276,48493.5,3.491
12/1/2018,454201,48505.5,4.329
12/2/2018,648286,48517.792,7.055
12/3/2018,609178,48536,9.711
12/4/2018,487258,48537.208,4.847
12/5/2018,346902,48566.583,2.522
12/6/2018,500778,48603.167,6.437
12/7/2018,787334,48607,8.662
12/8/2018,998899,48607,5.803
12/9/2018,888048,48607.417,5.918
12/10/2018,842063,48618.125,3.17
12/11/2018,476052,48645.125,1.782
12/12/2018,167250,48673.167,0.482
12/13/2018,263039,48723.458,-1.074
12/14/2018,165798,48734.125,-1.861
12/15/2018,283693,48737,-2.376
12/16/2018,294833,48737.375,-1.506
12/17/2018,193625,48746.792,0.857
12/18/2018,343368,48766.542,1.115
12/19/2018,457762,48802.833,1.499
12/20/2018,378972,48823.292,3.271
12/21/2018,754430,48854.125,6.137
12/22/2018,519328,48880,6.774
12/23/2018,405051,48880,5.964
12/24/2018,356747,48880,2.208
12/25/2018,552750,48880,0.891
12/26/2018,403203,48880.5,0.671
12/27/2018,282809,48893.208,1.185
12/28/2018,228763,48922.75,0.832
12/29/2018,533095,48963.167,2.093
12/30/2018,565673,48967.292,3.889
12/31/2018,245130,48974,4.517
1/1/2019,815236,48974,4.291
1/2/2019,666610,48974,0.286
1/3/2019,288820,48974,-1.023
1/4/2019,550139,48974,0.625
1/5/2019,595733,48974,3.266
1/6/2019,245990,48974,2.542
